slug,title_ar,status,issue_date_hijri,issue_date_gregorian,publish_date_hijri,publish_date_gregorian,effective_date_hijri,effective_date_gregorian,organized_source,knowledge_file,document_scope,catalog_source,version_status,version_status_label_ar,historical_versions_available,recent_update_note,article_count,paragraph_count,indexable_paragraph_count,text_chars,verbatim_chars,citation_base_ar,official_source_url_primary,verbatim_file
alnzam-alasasy-llhyyh-alqdayyh-alaqtsadyh-lmjls-altaawn-ldwl-alkhlyj-alarbyh,النظام الأساسي للهيئة القضائية الاقتصادية لمجلس التعاون لدول الخليج العربية,ساري,1438/11/09 هـ الموافق : 01/08/2017 مـ,2017-08-01,1438/11/25 هـ الموافق : 17/08/2017 مـ,2017-08-17,1438/11/25 هـ الموافق : 17/08/2017 مـ,2017-08-17,documents/saudi_regulations/official_latest/alnzam-alasasy-llhyyh-alqdayyh-alaqtsadyh-lmjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-llhyyh-alqdayyh-alaqtsadyh-lmjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,42,103,103,13672,13672,النظام الأساسي للهيئة القضائية الاقتصادية لمجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/43c53ab1-1cb3-4d76-ab39-a9f5012d437c/1,data/structured/verbatim_texts/alnzam-alasasy-llhyyh-alqdayyh-alaqtsadyh-lmjls-altaawn-ldwl-alkhlyj-alarbyh.txt
alnzam-alasasy-lmrkz-almalwmat-aljnayyh-lmkafhh-almkhdrat-lmjls-altaawn-ldwl-alkhlyj-alarbyh,النظام الأساسي لمركز المعلومات الجنائية لمكافحة المخدرات لمجلس التعاون لدول الخليج العربية,ساري,1430/10/24 هـ الموافق : 13/10/2009 مـ,2009-10-13,1430/10/24 هـ الموافق : 13/10/2009 مـ,2009-10-13,1430/10/24 هـ الموافق : 13/10/2009 مـ,2009-10-13,documents/saudi_regulations/official_latest/alnzam-alasasy-lmrkz-almalwmat-aljnayyh-lmkafhh-almkhdrat-lmjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-lmrkz-almalwmat-aljnayyh-lmkafhh-almkhdrat-lmjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,18,50,50,8111,8371,النظام الأساسي لمركز المعلومات الجنائية لمكافحة المخدرات لمجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/76988d51-8339-42a8-97d1-a9a700f194dc/1,data/structured/verbatim_texts/alnzam-alasasy-lmrkz-almalwmat-aljnayyh-lmkafhh-almkhdrat-lmjls-altaawn-ldwl-alkhlyj-alarbyh.txt
alnzam-alasasy-lhyyh-altqyys-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh,النظام الأساسي لهيئة التقييس لدول مجلس التعاون لدول الخليج العربية,ساري,1426/07/08 هـ الموافق : 13/08/2005 مـ,2005-08-13,1426/08/05 هـ الموافق : 09/09/2005 مـ,2005-09-09,1426/08/05 هـ الموافق : 09/09/2005 مـ,2005-09-09,documents/saudi_regulations/official_latest/alnzam-alasasy-lhyyh-altqyys-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-lhyyh-altqyys-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,16,34,34,12152,12602,النظام الأساسي لهيئة التقييس لدول مجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/746f3ff2-0c3a-4b60-aac2-a9a700f1c4e8/1,data/structured/verbatim_texts/alnzam-alasasy-lhyyh-altqyys-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt
alnzam-alasasy-lhyyh-almhasbh-walmrajah-ldwl-mjls-altaawn,النظام الأساسي لهيئة المحاسبة والمراجعة لدول مجلس التعاون,ساري,1421/01/01 هـ الموافق : 06/04/2000 مـ,2000-04-06,1421/01/01 هـ الموافق : 06/04/2000 مـ,2000-04-06,1421/01/01 هـ الموافق : 06/04/2000 مـ,2000-04-06,documents/saudi_regulations/official_latest/alnzam-alasasy-lhyyh-almhasbh-walmrajah-ldwl-mjls-altaawn.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-lhyyh-almhasbh-walmrajah-ldwl-mjls-altaawn.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,35,131,131,15219,15337,النظام الأساسي لهيئة المحاسبة والمراجعة لدول مجلس التعاون,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/109578cc-5c5c-42a9-9bae-a9a700f1c2a8/1,data/structured/verbatim_texts/alnzam-alasasy-lhyyh-almhasbh-walmrajah-ldwl-mjls-altaawn.txt
alnzam-albhry-altjary,النظام البحري التجاري,ساري,1440/04/05 هـ الموافق : 12/12/2018 مـ,2018-12-12,1440/04/28 هـ الموافق : 04/01/2019 مـ,2019-01-04,1440/04/28 هـ الموافق : 04/01/2019 مـ,2019-01-04,documents/saudi_regulations/official_latest/alnzam-albhry-altjary.pdf,documents/knowledge/saudi_regulations/alnzam-albhry-altjary.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,391,817,817,134571,134605,النظام البحري التجاري,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/43344715-1e0d-4e7f-9895-aa3d00f670e6/1,data/structured/verbatim_texts/alnzam-albhry-altjary.txt
alnzam-altjary-nzam-almhkmh-altjaryh,النظام التجاري ( نظام المحكمة التجارية),ساري,1350/01/01 هـ الموافق : 18/05/1931 مـ,1931-05-18,1350/01/01 هـ الموافق : 18/05/1931 مـ,1931-05-18,1350/01/01 هـ الموافق : 18/05/1931 مـ,1931-05-18,documents/saudi_regulations/official_latest/alnzam-altjary-nzam-almhkmh-altjaryh.pdf,documents/knowledge/saudi_regulations/alnzam-altjary-nzam-almhkmh-altjaryh.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,634,647,647,152876,154779,النظام التجاري ( نظام المحكمة التجارية),https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c58ba10c-4e89-4c06-98d7-a9a700f1c706/1,data/structured/verbatim_texts/alnzam-altjary-nzam-almhkmh-altjaryh.txt
alnzam-aljzayy-alkhas-btzyyf-wtqlyd-alnqwd,النظام الجزائي الخاص بتزييف وتقليد النقود,ساري,1379/07/20 هـ الموافق : 18/01/1960 مـ,1960-01-18,1379/07/20 هـ الموافق : 18/01/1960 مـ,1960-01-18,1379/07/20 هـ الموافق : 18/01/1960 مـ,1960-01-18,documents/saudi_regulations/official_latest/alnzam-aljzayy-alkhas-btzyyf-wtqlyd-alnqwd.pdf,documents/knowledge/saudi_regulations/alnzam-aljzayy-alkhas-btzyyf-wtqlyd-alnqwd.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,15,15,15,3185,3212,النظام الجزائي الخاص بتزييف وتقليد النقود,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/8a1799f2-3cd4-4619-b2ce-a9a700f18741/1,data/structured/verbatim_texts/alnzam-aljzayy-alkhas-btzyyf-wtqlyd-alnqwd.txt
alnzam-aljzayy-ljraym-altzwyr,النظام الجزائي لجرائم التزوير,ساري,1435/02/18 هـ الموافق : 21/12/2013 مـ,2013-12-21,1435/04/07 هـ الموافق : 07/02/2014 مـ,2014-02-07,1435/04/07 هـ الموافق : 07/02/2014 مـ,2014-02-07,documents/saudi_regulations/official_latest/alnzam-aljzayy-ljraym-altzwyr.pdf,documents/knowledge/saudi_regulations/alnzam-aljzayy-ljraym-altzwyr.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,30,45,45,7794,7794,النظام الجزائي لجرائم التزوير,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c1878d16-7ce0-4710-993b-a9a700f17ac5/1,data/structured/verbatim_texts/alnzam-aljzayy-ljraym-altzwyr.txt
alnzam-alshy,النظام الصحي,ساري,1423/03/23 هـ الموافق : 04/06/2002 مـ,2002-06-04,1423/03/23 هـ الموافق : 04/06/2002 مـ,2002-06-04,1423/03/23 هـ الموافق : 04/06/2002 مـ,2002-06-04,documents/saudi_regulations/official_latest/alnzam-alshy.pdf,documents/knowledge/saudi_regulations/alnzam-alshy.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,19,75,75,8783,8910,النظام الصحي,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/1169b2b7-4e7d-4775-86b0-a9a700f2841e/1,data/structured/verbatim_texts/alnzam-alshy.txt
alnzam-almwhd-bshan-almwad-almstnfdh-ltbqh-alawzwn-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-almadl,النظام الموحد بشأن المواد المستنفدة لطبقة الأوزون لدول مجلس التعاون لدول الخليج العربية (المعدل),ساري,1435/11/24 هـ الموافق : 19/09/2014 مـ,2014-09-19,1435/12/16 هـ الموافق : 10/10/2014 مـ,2014-10-10,1435/12/16 هـ الموافق : 10/10/2014 مـ,2014-10-10,documents/saudi_regulations/official_latest/alnzam-almwhd-bshan-almwad-almstnfdh-ltbqh-alawzwn-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-almadl.pdf,documents/knowledge/saudi_regulations/alnzam-almwhd-bshan-almwad-almstnfdh-ltbqh-alawzwn-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-almadl.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,20,71,71,11559,11582,النظام الموحد بشأن المواد المستنفدة لطبقة الأوزون لدول مجلس التعاون لدول الخليج العربية (المعدل),https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c1a67dbf-6959-437d-bb86-a9a700f2a126/1,data/structured/verbatim_texts/alnzam-almwhd-bshan-almwad-almstnfdh-ltbqh-alawzwn-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-almadl.txt
alnzam-almwhd-lidarh-nfayat-alraayh-alshyh-bdwl-mjls-altaawn-ldwl-alkhlyj-alarbyh,النظام الموحد لإدارة نفايات الرعاية الصحية بدول مجلس التعاون لدول الخليج العربية,ساري,1426/09/16 هـ الموافق : 19/10/2005 مـ,2005-10-19,1426/10/20 هـ الموافق : 22/11/2005 مـ,2005-11-22,1426/10/20 هـ الموافق : 22/11/2005 مـ,2005-11-22,documents/saudi_regulations/official_latest/alnzam-almwhd-lidarh-nfayat-alraayh-alshyh-bdwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/alnzam-almwhd-lidarh-nfayat-alraayh-alshyh-bdwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,23,86,86,16659,16670,النظام الموحد لإدارة نفايات الرعاية الصحية بدول مجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/81556dde-a88b-460f-b96a-a9a700f288d6/1,data/structured/verbatim_texts/alnzam-almwhd-lidarh-nfayat-alraayh-alshyh-bdwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt
alnzam-almwhd-lmd-alhmayh-altamynyh-lmwatny-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-alaamlyn-fy-gh,النظام الموحد لمد الحماية التأمينية لمواطني دول مجلس التعاون لدول الخليج العربية العاملين في غير دولهم في أي دولة عضو في المجلس,ساري,1426/11/26 هـ الموافق : 28/12/2005 مـ,2005-12-28,1426/11/26 هـ الموافق : 28/12/2005 مـ,2005-12-28,1426/11/26 هـ الموافق : 28/12/2005 مـ,2005-12-28,documents/saudi_regulations/official_latest/alnzam-almwhd-lmd-alhmayh-altamynyh-lmwatny-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-alaamlyn-fy-gh.pdf,documents/knowledge/saudi_regulations/alnzam-almwhd-lmd-alhmayh-altamynyh-lmwatny-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-alaamlyn-fy-gh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,23,45,45,9044,9282,النظام الموحد لمد الحماية التأمينية لمواطني دول مجلس التعاون لدول الخليج العربية العاملين في غير دولهم في أي دولة عضو في المجلس,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/fc9ac74c-fc7d-4456-a0e2-a9a700f23eff/1,data/structured/verbatim_texts/alnzam-almwhd-lmd-alhmayh-altamynyh-lmwatny-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh-alaamlyn-fy-gh.txt
qanwn-nzam-alasmdh-wmhsnat-altrbh-alzraayh-fy-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh,قانون (نظام) الأسمدة ومحسنات التربة الزراعية في دول مجلس التعاون لدول الخليج العربية,ساري,1427/07/15 هـ الموافق : 09/08/2006 مـ,2006-08-09,1427/08/15 هـ الموافق : 08/09/2006 مـ,2006-09-08,1427/08/15 هـ الموافق : 08/09/2006 مـ,2006-09-08,documents/saudi_regulations/official_latest/qanwn-nzam-alasmdh-wmhsnat-altrbh-alzraayh-fy-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/qanwn-nzam-alasmdh-wmhsnat-altrbh-alzraayh-fy-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,15,48,48,6483,6647,قانون (نظام) الأسمدة ومحسنات التربة الزراعية في دول مجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/e2263a48-092e-481d-84e5-a9a700f2529e/1,data/structured/verbatim_texts/qanwn-nzam-alasmdh-wmhsnat-altrbh-alzraayh-fy-dwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt
qanwn-nzam-altnzym-alsnaay-almwhd-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh,قانون (نظام) التنظيم الصناعي الموحد لدول مجلس التعاون لدول الخليج العربية,ساري,1427/04/04 هـ الموافق : 02/05/2006 مـ,2006-05-02,1427/05/13 هـ الموافق : 09/06/2006 مـ,2006-06-09,1427/05/13 هـ الموافق : 09/06/2006 مـ,2006-06-09,documents/saudi_regulations/official_latest/qanwn-nzam-altnzym-alsnaay-almwhd-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/qanwn-nzam-altnzym-alsnaay-almwhd-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,33,64,64,13029,13239,قانون (نظام) التنظيم الصناعي الموحد لدول مجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/66c640db-fbb2-45fc-a797-a9a700f29c6a/1,data/structured/verbatim_texts/qanwn-nzam-altnzym-alsnaay-almwhd-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt
qanwn-nzam-alrfq-balhywan-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh,قانون (نظام) الرفق بالحيوان لدول مجلس التعاون لدول الخليج العربية,ساري,1434/07/26 هـ الموافق : 05/06/2013 مـ,2013-06-05,1434/08/26 هـ الموافق : 05/07/2013 مـ,2013-07-05,1434/08/26 هـ الموافق : 05/07/2013 مـ,2013-07-05,documents/saudi_regulations/official_latest/qanwn-nzam-alrfq-balhywan-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/qanwn-nzam-alrfq-balhywan-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,16,18,18,4158,4158,قانون (نظام) الرفق بالحيوان لدول مجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/6f3797d0-fc94-4930-b5e3-a9a700f25744/1,data/structured/verbatim_texts/qanwn-nzam-alrfq-balhywan-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt
